a little,অল্প-স্বল্প
observation squadron,পর্যবেক্ষণ স্কোয়াড্রন
observation station,পর্যবেক্ষণ স্টেশন
observation tower,পর্যবেক্ষণ টাওয়ার
observe mourning,শোক পালন
observe secretly,গোপনে পালন
observed fire,পর্যবেক্ষিত ফায়ার
obsessed by,উদ্বিগ্ন
obsessed with,উদ্বিগ্ন
obstacle race,দৌড় প্রতিযোগিতা
obstacle to,বাধা
obstetrical delivery,ধাত্রীবিদ্যাসংক্রান্ত বিতরণ
obstetrical toad,ধাত্রীবিদ্যাসংক্রান্ত ঘৃণ্য
obstetrical ward,ধাত্রীবিদ্যাসংক্রান্ত ওয়ার্ড
obstinate insistence,গোঁ
obstinate person,একগুঁয়ে ব্যক্তি
obtain victory,বিজয়লাভ করা
obtrude upon,উপর বাহির
obtuse angle,স্থূলকোণ
obtuse leaf,ভোঁতা পাতার
obtuse triangle,ভোঁতা ত্রিভুজ
obtuse-angled triangle,স্থূলকোণী ত্রিভুজ
occasion rings,অনুষ্ঠানে রিং
occasional cause,আনুষঙ্গিক
occult arts,অতিপ্রাকৃত আর্টস
occupancy rate,দখল হার
occupancy right,দখলিস্বত্ব
occupation bridge,বৃত্তি সেতু
occupation franchise,হানাদার ভোটাধিকার
occupation licence,বৃত্তি লাইসেন্স
occupation license,বৃত্তি লাইসেন্স
occupation stamp,বৃত্তি স্ট্যাম্প
occupational disease,অকুপেশনাল রোগ
occupational group,অকুপেশনাল গ্রুপ
occupational hazard,পেশাগত বিপত্তি
occupational neurosis,পেশাগত উদ্বায়ু
occupational therapy,অকুপেশনাল থেরাপি
occupied in,নিয়োজিত
occupied with,নিয়োজিত (কাজ)
occupy oneself,নিজেকে ব্যাপৃত
occupying force,দখলদার বাহিনী
occur sporadically,বিক্ষিপ্তভাবে ঘটতে
occur to,মনে হওয়া
ocean basin,সমুদ্র অববাহিকার
ocean bed,সমুদ্রের বিছানা
ocean bottom,সমুদ্রের নীচে
ocean bug,সমুদ্রের বাগ
ocean current,সমুদ্রের বর্তমান
ocean floor,সমুদ্রের তলায়
ocean front,সমুদ্রের সামনে
ocean green,সমুদ্র সবুজ
ocean lane,সমুদ্রের গলি
ocean liner,সমুদ্রের মাছ ধরার নৌকা
ocean perch,সমুদ্রের উচ্চাসন
ocean pout,সমুদ্রের বিরক্তিভাব
ocean spray,সমুদ্র স্প্রে
ocean state,মহাসাগর রাষ্ট্র
ocean tramp,সমুদ্রের পদব্রজে ভ্রমণ
ocean trip,সমুদ্রের ট্রিপ
oceanic abyss,ওশানিক নরক
octal digit,অকট্যাল ডাক
octal notation,অকট্যাল স্বরলিপি
octane number,অক্টেন সংখ্যা
octane rating,অক্টেন রেটিং
octet theory,অক্টেট তত্ত্ব
october revolution,অক্টোবর বিপ্লব
octroi duty,নগর শুল্ক
ocular frontal,চাক্ষুষ ফ্রন্টাল
ocular muscle,চাক্ষুষ পেশী
ocular spot,চাক্ষুষ স্পট
oculus sinister,চক্ষু অশুভ
odd ends,অদ্ভুত শেষ
odd fellow,অড সহকর্মী
odd fellowship,অড বন্ধুতা
odd fish,অদ্ভুত মাছ
odd job,বেমানান কাজ
odd jobs,অস্বাভাবিক কাজ
odd man,অদ্ভুত মানুষ
odd number,বিজোড় সংখ্যা
odd person,অদ্ভুত ব্যক্তি
odd sum,বিজোড় সমষ্টি
odd-even check,এমনকি বিজোড় চেক
odd-job man,অদ্ভুতদর্শন কাজের লোক
odd-leg caliper,অদ্ভুতদর্শন লেগ ক্যালিপার
oddly enough,আশ্চর্যের ব্যাপার
odd-pinnate leaf,অদ্ভুতদর্শন পক্ষল পাতার
odd-toed ungulate,অদ্ভুত বক্রপদ খরত্তয়ালা প্রাণী
odious practice,ঘৃণ্য অনুশীলন
odontoid process,দন্তসদৃশ প্রক্রিয়া
odoriferous ness,সুগন্ধসঞ্চারী অন্তরীপ
oedipus complex,ইডিপাস কমপ্লেক্স
oedipus rex,ইডিপাস রেক্স
of age,বয়স
of all,সব
of bitumen,বিটুমেন্যুক্ত
of clay,মৃন্ময়
of course,অবশ্যই
of everybody,সবার
of her,তার
of him,তাকে
of import,আমদানির
of iron,লোহার
of it,এটি
of late,"সম্প্রতি , আধুনা"
of leisure,অবসর
of midday,মাধ্যাহ্নিক
of mine,আমার
of necessity,নিতান্ত
of old,পুরোনো
of puberty,বয়ঃসন্ধি
of steel,ইস্পাতে
of table,টেবিলের
of that,যে
of them,তাদের মধ্যে
of those,যারা
of today,আজকের
of us,আমাদের
of use,ব্যবহারের
of value,মান
of which,কোনটি
of yore,পুরাকালে
of you,আপনার
off chance,সামান্য সম্ভাবনা
off colour,রংচটা
off grade,বন্ধ গ্রেড
off guard,প্রহরীদের বন্ধ
off key,খাপছাড়া
off licence,লাইসেন্স বন্ধ
off limits,নাগালের বাইরে
off shoulder,বন্ধ কাঁধ
off side,বন্ধ পাশ
off time,মন্দা-পর্বের
off track,ট্র্যাক বন্ধ
off year,বছর বন্ধ
offend against,লঙ্গন করা
offended at,বিরক্ত (কোন কাজে)
offended with,বিরক্ত (ব্যক্তি)
offensive activity,আক্রমণাত্মক কার্যকলাপ
offensive to,বিরক্তিকর
offer battle,অর্পণ
offer fateha,ফাতেহা পাঠ করা
offer opposition,প্রস্তাব বিরোধী
offer price,প্রস্তাব মূল্য
offer up,আপ অফার
offer worship,প্রস্তাব পূজা
offertory music,গীতাঞ্জলি গান
offertory veil,গীতাঞ্জলি অবগুণ্ঠন
offhand position,চট করে অবস্থান
office assistant,সহকারী
office bearer,কর্মচারি
office block,অফিস ব্লক
office building,অফিস ভবন
office clerk,করণিক
office copy,অফিস কপি
office directive,অফিস-নির্দেশ
office fixture,অফিস চোকান
office force,অফিস বল
office found,অফিসে পাওয়া
office furniture,অফিসের আসবাবপত্র
office girl,কর্মরত মহিলা
office holder,অফিসে ধারক
office hour,অফিস ঘন্টা
office hours,অফিসের সময়সূচি
office lawyer,অফিস আইনজীবী
office manager,অফিস ব্যবস্থাপক
office practice,অফিস অনুশীলন
office premium,অফিস প্রিমিয়াম
office seeker,অফিস অন্বেষী
office staff,অফিস কর্মকর্তা
office superintendent,অফিস-অধীক্ষক
office time,অফিস সময়
office work,অফিসের কাজ
office worker,অফিস কর্মী
